x,y
1.0,4.011241876774132
1.25,3.0701257666937787
1.5,3.6829903872845913
1.75,4.842714559361166
2.0,4.694046392119974
2.25,2.568177696098871
2.5,4.260070734020472
2.75,3.5289142333618417
3.0,3.7174249185651536
3.25,4.278478801550698
3.5,4.215234856928702
3.75,5.41341880557038
4.0,5.008830180117595
4.25,4.647340013194262
4.5,5.05509058619634
4.75,5.116939461899413
5.0,6.195263258526085
5.25,4.985873388987359
5.5,5.550454161320721
5.75,4.76672340855862
6.0,3.557608147332737
6.25,6.2728948763522885
6.5,6.591548959087605
6.75,5.456267983674846
7.0,8.015803699190087
7.25,5.186507460320987
7.5,6.536606813841157
7.75,6.500252919979332
8.0,8.026223371486767
8.25,8.125487015920228
8.5,7.223957940557533
8.75,7.5525300156817385
9.0,6.689771401895909
9.25,5.965362825420858
9.5,7.421670280539078
9.75,7.9750791752831836
